LiquidatorVendorCode	InventoryLocation	FC	IOG	RemovalReason	ShipmentClosed	BOL	Carrier	ShipToCity	RemovalOrderID	ReturnID	ReturnItemID	ShipmentRequestID	PkgID	GL	GLDesc	CategoryCode	CategoryDesc	SubcatCode	SubcatDesc	Asin	UPC	EAN	FCSku	ItemDesc	Units	ItemPkgWeight	ItemPkgWeightUOM	CostSource	CurrencyCode	UnitCost	AmazonPrice	UnitRecovery	TotalCost	TotalRecovery	RecoveryRate	RecoveryRateType	AdjTotalRecovery	AdjRecoveryRate	AdjReason	FNSku	LPN	TaxAmount	InvoiceNumber
IMXSW	DE	LCJ2	945346	Defective	2022/06/24	H1020780286051401044	HERMES_DIREKT	Gau-Bickelheim	3668243211	5298051871552	5517440874556	LIQN5030547558532	spe0147DGbc	421	gl_camera	42101100	1100 Film	42101110	1110 Film_Cameras	B01LWV11IO	840102160840	0840102160840	B01LWV11IO	Polaroid-Schnappschuss-Sofortdruck-Digitalkamera mit LCD-Display (Rot) mit Zink Zero Ink Drucktechnologie	1	369.9997	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	146.04	176.78	18.99	146.04	18.99	13	PERCENTAGE_OF_COST				B01LWV11IO		0	INV-PL-142497391-2022-495
IMXSW	DE	CGN1	3812543	Defective	2022/06/24	AA0156171707	AMZN_DE_STD	Gau-Bickelheim	3663453511	5296900474552	5515542804556	LIQN205149013532	spL1jlPIj0I	421	gl_camera					B09CZ42SKH			X001FA37LV	MINIBEAR Kinder Sofortbildkamera mit 3 Rollen Druckpapier, Touchscreen 3,0-Zoll-Farb-Kamera für Kinder 1080P Dual-Objektiv-Selfie-Digitalkamera, 28MP-Videokamera für Kinder mit 32GB TF-Karte(Blau)	1	489.9996	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	56.31		7.32	56.31	7.32	13	PERCENTAGE_OF_COST				X001FA37LV		1.39	INV-DE-1648812195-2022-46
IMXSW	DE	CGN1	3812543	Defective	2022/06/24	AA0156171707	AMZN_DE_STD	Gau-Bickelheim	3663453511	5296900474552	5515542805556	LIQN205149013532	spL1jlPIj0I	421	gl_camera					B09CYX24GQ			X001FL6WTJ	MINIBEAR Kinder-Sofortdruckkamera für Mädchen, 40MP Kinder-Digitalkamera mit Druckpapier, Kinderspielzeugkamera mit Selfie-Videokamera mit 2,4-Zoll-Bildschirm Kinderkamera und 32 GB TF-Karte(Rosa)	1	609.9995	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	55.45		7.21	55.45	7.21	13	PERCENTAGE_OF_COST				X001FL6WTJ		1.37	INV-DE-1648812195-2022-46
IMXSW	DE	CGN1	3802443	Defective	2022/06/24	AA0156188434	AMZN_DE_STD	Gau-Bickelheim	3662875741	5296616521552	804170744556	LIQN5030238526532	spL1IO100lL	229	gl_office_product					B09MPT6XF8		8052575110938	X001H71DGN	Verbotsschild aus Aluminium für den Außenbereich, robust, 3 mm dick	1	419.9997	GR	FBA_IVS_PRODUCT_SCHEDULE_COST_SRC	EUR	14		0.56	14	0.56	4	PERCENTAGE_OF_COST				X001H71DGN		0.11	INV-DE-1547055135-2022-122
IMXSW	DE	CGN1	3770394	Customer Damage	2022/06/24	AA0156116738	AMZN_DE_STD	Gau-Bickelheim	3652381051	5293434724552	5509639623556	LIQN5029744964532	spL1IN143ln	364	gl_personal_care_appliances					B09PDGWC2X			X001HTG3NT	Hatteker Haarschneidemaschine & Haartrimmer Kit für Herren Bartschneider Barttrimmer IPX7 Wasserdichte Haarschneider T-Klinge Haarsneider Professioneller USB Wiederaufladbar (GOLD)	1	919.9992	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	42.85		4.71	42.85	4.71	11	PERCENTAGE_OF_COST				X001HTG3NT		0.89	INV-DE-1604511215-2022-45
IMXSW	DE	STR1	4268396	Defective	2022/06/24	H1023050001382401044	HERMES_DOM	Gau-Bickelheim	3651250321	5292983281552	5508873174556	LIQN5029651115532	spL1jk9m6in	267	gl_musical_instruments					B095KJRM9D	712281825226	0712281825226	B095KJRM9D	BOMGE 6-Kanal-DJ-Audio-Mixer mit MP3-USB-Bluetooth, 48 V Phantomspeisung, 16 DSP-Echo-Effekte Mixer für Live, Musik, Karaoke, Podcast (schwarz)	1	811.9993	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	57.36		5.74	57.36	5.74	10	PERCENTAGE_OF_COST				B095KJRM9D		1.09	INV-DE-1510620175-2022-20
IMXSW	DE	STR1	4268396	Customer Damage	2022/06/24	H1023050001382401044	HERMES_DOM	Gau-Bickelheim	3651250321	5292983281552	5508873175556	LIQN5029651115532	spL1jk9m6in	267	gl_musical_instruments					B095KJRM9D	712281825226	0712281825226	B095KJRM9D	BOMGE 6-Kanal-DJ-Audio-Mixer mit MP3-USB-Bluetooth, 48 V Phantomspeisung, 16 DSP-Echo-Effekte Mixer für Live, Musik, Karaoke, Podcast (schwarz)	1	811.9993	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	57.36		5.74	57.36	5.74	10	PERCENTAGE_OF_COST				B095KJRM9D		1.09	INV-DE-1510620175-2022-20
IMXSW	DE	STR1	4268396	Customer Damage	2022/06/24	H1023050001382401044	HERMES_DOM	Gau-Bickelheim	3651250321	5292983281552	5508873176556	LIQN5029651115532	spL1jk9m6in	267	gl_musical_instruments					B095KL96QC	712281826780	0712281826780	X001DQAQC5	BOMGE 6-Kanal-DJ-Audio-Mixer mit MP3-USB-Bluetooth, 48 V Phantomspeisung, 16 DSP-Echo-Effekte Mixer für Live, Musik, Karaoke, Podcast (Weiß)	1	829.9993	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	57.11		5.71	57.11	5.71	10	PERCENTAGE_OF_COST				X001DQAQC5		1.08	INV-DE-1510620175-2022-20
IMXSW	DE	STR1	1312933	Customer Damage	2022/06/24	H1023050001352901044	HERMES_DOM	Gau-Bickelheim	3651218441	5292980021552	5508866887556	LIQN5029645464532	spL1jk9m6j0	229	gl_office_product					B083BNXX9S	769638311918	0769638311918	X0014NX633	Daumenkino-Set: 270 Blatt Animationspapier mit abnehmbaren Schrauben &amp; LED-Lichtbox zum Nachzeichnen und Zeichnen, USB-betriebener A5-Lichtkasten mit stufenlosem Dimmen und Lineal	1	499.9996	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	15.91		0.64	15.91	0.64	4	PERCENTAGE_OF_COST				X0014NX633		0.12	INV-DE-426834955-2022-94
IMXSW	DE	STR1	1312933	Customer Damage	2022/06/24	H1023050001352901044	HERMES_DOM	Gau-Bickelheim	3651218441	5292980021552	804994144556	LIQN5029645464532	spL1jk9m6j0	229	gl_office_product					B083BNXX9S	769638311918	0769638311918	X0014NX633	Daumenkino-Set: 270 Blatt Animationspapier mit abnehmbaren Schrauben &amp; LED-Lichtbox zum Nachzeichnen und Zeichnen, USB-betriebener A5-Lichtkasten mit stufenlosem Dimmen und Lineal	1	499.9996	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	15.91		0.64	15.91	0.64	4	PERCENTAGE_OF_COST				X0014NX633		0.12	INV-DE-426834955-2022-94
