LiquidatorVendorCode	InventoryLocation	FC	IOG	RemovalReason	ShipmentClosed	BOL	Carrier	ShipToCity	RemovalOrderID	ReturnID	ReturnItemID	ShipmentRequestID	PkgID	GL	GLDesc	CategoryCode	CategoryDesc	SubcatCode	SubcatDesc	Asin	UPC	EAN	FCSku	ItemDesc	Units	ItemPkgWeight	ItemPkgWeightUOM	CostSource	CurrencyCode	UnitCost	AmazonPrice	UnitRecovery	TotalCost	TotalRecovery	RecoveryRate	RecoveryRateType	AdjTotalRecovery	AdjRecoveryRate	AdjReason	FNSku	LPN	TaxAmount	InvoiceNumber
PX713	ES	MAD4	1531950	Customer Damage	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5584903982556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments	26705000	5000 DJ and Lighting	26705200	5200 Special Effect Lighting	B07FL7887K	659516522560	0659516522560	B07FL7887K	UKing Cabeza Móvil, 80W LED Luz del Partido la Iluminación del Escenario DMX512 DJ Disco para Bar Fiesta Navideña Halloween	1	2419.998	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	78.32		10.18	78.32	10.18	13	PERCENTAGE_OF_COST				B07FL7887K		0	INV-ES-829158495-2022-388
PX713	ES	MAD4	1531950	Defective	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5584903983556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments					B0B1WG4NDY			X001KODTPB	Uking 700W Maquina Humo Discoteca con RGB 9 LED y Luces de Bola de Discoteca, Efecto de Niebla de Alto Rendimiento Compatible con 16 Colores/Estroboscópicos para DJ Disco Show Club Bar boda	1	2009.9984	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	57.84		7.52	57.84	7.52	13	PERCENTAGE_OF_COST				X001KODTPB		0	INV-ES-829158495-2022-388
PX713	ES	MAD4	1531950	Customer Damage	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5584903984556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments	26705000	5000 DJ and Lighting	26705200	5200 Special Effect Lighting	B088JWPLVL			X0016GXEOJ	1200W Máquina de Humo con Luces Controlables,UKing RGB Maquina Niebla con Control Remoto y Tanque de 1L para Bodas, Fiestas, Teatro, Discoteca	1	4049.9967	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	77.04		10.02	77.04	10.02	13	PERCENTAGE_OF_COST				X0016GXEOJ		0	INV-ES-829158495-2022-388
PX713	ES	MAD4	1531950	Customer Damage	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5590368861556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments	26705000	5000 DJ and Lighting	26705200	5200 Special Effect Lighting	B07FL7887K	659516522560	0659516522560	B07FL7887K	UKing Cabeza Móvil, 80W LED Luz del Partido la Iluminación del Escenario DMX512 DJ Disco para Bar Fiesta Navideña Halloween	1	2419.998	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	78.32		10.18	78.32	10.18	13	PERCENTAGE_OF_COST				B07FL7887K		0	INV-ES-829158495-2022-388
PX713	ES	MAD4	1531950	Customer Damage	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5590368862556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments	26705000	5000 DJ and Lighting	26705200	5200 Special Effect Lighting	B07FL7887K	659516522560	0659516522560	B07FL7887K	UKing Cabeza Móvil, 80W LED Luz del Partido la Iluminación del Escenario DMX512 DJ Disco para Bar Fiesta Navideña Halloween	1	2419.998	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	78.32		10.18	78.32	10.18	13	PERCENTAGE_OF_COST				B07FL7887K		0	INV-ES-829158495-2022-388
PX713	ES	MAD4	1531950	Customer Damage	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5590368863556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments	26705000	5000 DJ and Lighting	26705200	5200 Special Effect Lighting	B07FL7887K	659516522560	0659516522560	B07FL7887K	UKing Cabeza Móvil, 80W LED Luz del Partido la Iluminación del Escenario DMX512 DJ Disco para Bar Fiesta Navideña Halloween	1	2419.998	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	78.32		10.18	78.32	10.18	13	PERCENTAGE_OF_COST				B07FL7887K		0	INV-ES-829158495-2022-388
PX713	ES	MAD4	1531950	Customer Damage	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5590368864556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments	26705000	5000 DJ and Lighting	26705200	5200 Special Effect Lighting	B07FL7887K	659516522560	0659516522560	B07FL7887K	UKing Cabeza Móvil, 80W LED Luz del Partido la Iluminación del Escenario DMX512 DJ Disco para Bar Fiesta Navideña Halloween	1	2419.998	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	78.32		10.18	78.32	10.18	13	PERCENTAGE_OF_COST				B07FL7887K		0	INV-ES-829158495-2022-388
PX713	ES	MAD4	1531950	Customer Damage	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5590368865556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments	26705000	5000 DJ and Lighting	26705200	5200 Special Effect Lighting	B07FL7887K	659516522560	0659516522560	B07FL7887K	UKing Cabeza Móvil, 80W LED Luz del Partido la Iluminación del Escenario DMX512 DJ Disco para Bar Fiesta Navideña Halloween	1	2419.998	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	78.32		10.18	78.32	10.18	13	PERCENTAGE_OF_COST				B07FL7887K		0	INV-ES-829158495-2022-388
PX713	ES	MAD4	1531950	Customer Damage	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5590368866556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments	26705000	5000 DJ and Lighting	26705200	5200 Special Effect Lighting	B07FL7887K	659516522560	0659516522560	B07FL7887K	UKing Cabeza Móvil, 80W LED Luz del Partido la Iluminación del Escenario DMX512 DJ Disco para Bar Fiesta Navideña Halloween	1	2419.998	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	78.32		10.18	78.32	10.18	13	PERCENTAGE_OF_COST				B07FL7887K		0	INV-ES-829158495-2022-388
PX713	ES	MAD4	1531950	Customer Damage	2022/10/21	00340312891210072079	DRUDE_FRACS_DOM	Mannheim	3788862191	5335734296552	5590368867556	LIQN206570072532	spNLPQV714K	267	gl_musical_instruments	26705000	5000 DJ and Lighting	26705200	5200 Special Effect Lighting	B088JWPLVL			X0016GXEOJ	1200W Máquina de Humo con Luces Controlables,UKing RGB Maquina Niebla con Control Remoto y Tanque de 1L para Bodas, Fiestas, Teatro, Discoteca	1	4049.9967	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	77.04		10.02	77.04	10.02	13	PERCENTAGE_OF_COST				X0016GXEOJ		0	INV-ES-829158495-2022-388
