ReturnId	ShipmentItemId	PkgID	Asin	FCSku	FNSku	LPN	BOL
5319380269552	585728444161	spe01hFdE73	B087Q58ZZW	ZZWF9HO0Q6	X00169V74P	LPNIC070101940	JJD000390013978415590
5319614628552	646478624174	spL1jJnO86o	B09DY9V7BF	ZZWFEPMBJ6	X001HQJK4V	LPNHE672764703	00340435085021078015
5319747169552	646486636174	spJ170JI3Io	B07VCQ4621	ZZWK7M9TYG	X00120DFIT	LPNA009257466	JJD000390000579657755
5316805393552	646488499174	spe01hcE4af	B09VDTHB7W	ZZWFNGXEB0	B09VDTHB7W	LPNHL946870676	JJD000390000579657074
5316805393552	646488500174	spe01hcE4af	B09VDTHB7W	ZZWFT8VCHA	B09VDTHB7W	LPNHE663840759	JJD000390000579657074
5319010456552	646568900174	spL1J7Ko99M	B09PHDDJYJ	ZZWFBY6KQK	X001I0R6FV	LPNA020104580	JJD000390000579657854
5319010456552	646568901174	spL1J7Ko99M	B09PHDDJYJ	ZZWFDANEWA	X001I0R6FV	LPNHL946260309	JJD000390000579657854
5319010456552	646568902174	spL1J7Ko99M	B09PHDDJYJ	ZZWFDXNT1I	X001I0R6FV	LPNHL946236560	JJD000390000579657854
5319010456552	646568903174	spL1J7Ko99M	B09PHDDJYJ	ZZWFEPX6KY	X001I0R6FV	LPNHL946285792	JJD000390000579657854
5319010456552	646568904174	spL1J7Ko99M	B09PHDDJYJ	ZZWFHV8UK6	X001I0R6FV	LPNHL967630257	JJD000390000579657854
5319010456552	646568905174	spL1J7Ko99M	B09PHDDJYJ	ZZWFLVHRRY	X001I0R6FV	LPNHE658876765	JJD000390000579657854
5319582775552	766087594144	spk01o6J1i7	B01EC8VMVG	ZZWG66TQ7W	X000VHJ3B7	LPNHE650779906	JJD000390000739898795
5317958215552	792992871608	spFGL1HmH9r	B07R18KWKR	ZZWFTBPXCC	X00150BK29	LPNA000588205	JJD000390003153886374
5317958215552	792992872608	spFGL1HmH9r	B07R18KWKR	ZZWI7Q2GSU	X00150BK29	LPNA013451563	JJD000390003153886374
5317958215552	792992873608	spFGL1HmH9r	B07R18KWKR	ZZWFJHA65A	X00150BK29	LPNA000797090	JJD000390003153886374
5319757700552	231767487175	spJ170l09Km	B07VCQ4621	ZZWHJ8M4RA	X00120DFIT	LPNA014262152	JJD000390000814343701
5319499731552	811448174067	spL1i4L72KK	B073XDK6ZW	ZZWGFHX1KU	X000Q4M91L	LPNHE653460246	JJD000390000564019800
5319499731552	811448175067	spL1i4L72KK	B073XDK6ZW	ZZWG6ZH4YU	X000Q4M91L	LPNHE669814786	JJD000390000564019800
5319499731552	811448176067	spL1i4L72KK	B073XDK6ZW	ZZWGY3EE9M	X000Q4M91L	LPNA014538284	JJD000390000564019800
5319499731552	811448177067	spL1i4L72KK	B073XDK6ZW	ZZWIHU8H52	X000Q4M91L	LPNA013652852	JJD000390000564019800
5318307501552	646779233174	spL1jP2Ni26	B08T1PSS42	ZZWFJTFZKE	X001AWCITL	LPNIC050710208	JJD000390000579660146
5318307501552	646779234174	spL1jP2Ni26	B08T1PSS42	ZZWFPZFL6A	X001AWCITL	LPNIC071703786	JJD000390000579660146
5318307501552	646779235174	spL1jP2Ni26	B08T1PSS42	ZZWFTFHC40	X001AWCITL	LPNIC071286958	JJD000390000579660146
5320902073552	585962250161	spNNZGXT7CX	B09JC6M9PR	ZZWF7EHYFU	X001GEKCC3	LPNIC069137835	JJD000390013978415875
5320902073552	585962251161	spNNZGXT7CX	B09JC6M9PR	ZZWFAN22CS	X001GEKCC3	LPNIC069815407	JJD000390013978415875
5319387639552	811637214067	spe022C4gCD	B07ZCSMKP8	ZZWGAWQSYG	X00161LG3F	LPNHE650614781	JJD000390000616578533
5321105874552	646926411174	spJ170J7OO5	B089GMVND1	ZZWFLH3D30	X0016P31NT	LPNHE658782848	JJD000390000579663382
5317879575552	646946817174	spL1J7KO0PJ	B09VDTHB7W	ZZWFPGERUU	B09VDTHB7W	LPNHE664149866	JJD000390000579661834
5317879575552	646947258174	spL1J7KO0PJ	B09VDTHB7W	ZZWFPMERXQ	B09VDTHB7W	LPNHE666652194	JJD000390000579661834
5317879575552	646947259174	spL1J7KO0PJ	B09VDTHB7W	ZZWFPQUIPI	B09VDTHB7W	LPNHE664108609	JJD000390000579661834
5317879575552	646947260174	spL1J7KO0PJ	B09VDTHB7W	ZZWFPS2CDC	B09VDTHB7W	LPNA000601976	JJD000390000579661834
5317879575552	646947261174	spL1J7KO0PJ	B09VDTHB7W	ZZWFPYMJRK	B09VDTHB7W	LPNHE663740957	JJD000390000579661834
5317879575552	646947262174	spL1J7KO0PJ	B09VDTHB7W	ZZWFQ84JYG	B09VDTHB7W	LPNA000403997	JJD000390000579661834
5317879575552	646947263174	spL1J7KO0PJ	B09VDTHB7W	ZZWFQBVYC8	B09VDTHB7W	LPNA000612051	JJD000390000579661834
5317879575552	646947264174	spL1J7KO0PJ	B09VDTHB7W	ZZWFR7RPFQ	B09VDTHB7W	LPNHE673598887	JJD000390000579661834
5317879575552	646947265174	spL1J7KO0PJ	B09VDTHB7W	ZZWFRTWSM4	B09VDTHB7W	LPNHE664294559	JJD000390000579661834
5317879575552	646947266174	spL1J7KO0PJ	B09VDTHB7W	ZZWFRTXMO2	B09VDTHB7W	LPNHE670830460	JJD000390000579661834
5317879575552	646947267174	spL1J7KO0PJ	B09VDTHB7W	ZZWFSWE6F2	B09VDTHB7W	LPNHE673585650	JJD000390000579661834
5319450799552	646947919174	spL1jP2N9o1	B07NWJM7JG	ZZWGQ31BWI	X000ZXGB35	LPNA008403904	JJD000390000579660092
5319450799552	646947920174	spL1jP2N9o1	B07NWJM7JG	ZZWHGPM2EQ	X000ZXGB35	LPNHE637960874	JJD000390000579660092
5320777636552	646948839174	spJ170mNnjo	B0824W75Z6	ZZWHWKZ6HK	X001FUKXWH	LPNHE645607096	JJD000390000579660753
5320899392552	646950480174	spJ16p3lPL3	B01IN6N0XG	ZZWFSXDR4M	B01IN6N0XG	LPNHL967651205	JJD000390000579662840
5320899392552	646950481174	spJ16p3lPL3	B082W7QT6P	ZZWHRX3KYS	X0017U01PT	LPNHE654643394	JJD000390000579662840
5320581690552	942629793143	spL1j4I3K8I	B09NVYBNXM	ZZWFJVFX40	X001HMYM2Z	LPNHE658540685	JJD000390000692425177
