LiquidatorVendorCode	InventoryLocation	FC	IOG	RemovalReason	ShipmentClosed	BOL	Carrier	ShipToCity	RemovalOrderID	ReturnID	ReturnItemID	ShipmentRequestID	PkgID	GL	GLDesc	CategoryCode	CategoryDesc	SubcatCode	SubcatDesc	Asin	UPC	EAN	FCSku	ItemDesc	Units	ItemPkgWeight	ItemPkgWeightUOM	CostSource	CurrencyCode	UnitCost	AmazonPrice	UnitRecovery	TotalCost	TotalRecovery	RecoveryRate	RecoveryRateType	AdjTotalRecovery	AdjRecoveryRate	AdjReason	FNSku	LPN	TaxAmount	InvoiceNumber
IMXSW	DE	BLQ1	3601981	Overstock	2022/06/20	AA0154770139	AMZN_DE_STD	Gau-Bickelheim	3660565371	5295481097552	5513306020556	LIQN5030025622532	spe00baFGbH	147	gl_pc			14700948	948 Workspace & gadgets accessories	B08NPB19GZ		8379869263225	X0019VXNDD	DORRISO RGB Tappetino per Mouse Gaming 900 x 400 x 3 mm XXL Grande Mouse Pad 12 LED Effetti Luce Superficie Liscio Computer PC e Laptop Tappetini per Mouse Leone	1	752.9994	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	23.3		1.63	23.3	1.63	7	PERCENTAGE_OF_COST				X0019VXNDD		0	INV-IT-1180102815-2022-51
IMXSW	DE	BLQ1	3601981	Overstock	2022/06/20	AA0154770139	AMZN_DE_STD	Gau-Bickelheim	3660565371	5295481097552	5513306021556	LIQN5030025622532	spe00baFGbH	147	gl_pc					B089RHG1S6		8379869262778	X001AXTV59	DORRISO Grande Tappetino Mouse Gaming 800x300x4 mm Mouse Pad XXL Confortevole Antiscivolo Tappetino Scrivania Adatto giochi, ufficio Tappetino Mouse	1	434.9996	GR	FBA_IVS_PRODUCT_SCHEDULE_COST_SRC	EUR	19		1.33	19	1.33	7	PERCENTAGE_OF_COST				X001AXTV59		0	INV-IT-1180102815-2022-51
IMXSW	DE	BLQ1	3601981	Overstock	2022/06/20	AA0154770139	AMZN_DE_STD	Gau-Bickelheim	3660565371	5295481097552	5516923733556	LIQN5030025622532	spe00baFGbH	147	gl_pc			14700948	948 Workspace & gadgets accessories	B08NPB19GZ		8379869263225	X0019VXNDD	DORRISO RGB Tappetino per Mouse Gaming 900 x 400 x 3 mm XXL Grande Mouse Pad 12 LED Effetti Luce Superficie Liscio Computer PC e Laptop Tappetini per Mouse Leone	1	752.9994	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	23.3		1.63	23.3	1.63	7	PERCENTAGE_OF_COST				X0019VXNDD		0	INV-IT-1180102815-2022-51
IMXSW	DE	BLQ1	3601981	Overstock	2022/06/20	AA0154770139	AMZN_DE_STD	Gau-Bickelheim	3660565371	5295481097552	5516923734556	LIQN5030025622532	spe00baFGbH	147	gl_pc			14700948	948 Workspace & gadgets accessories	B08NPB19GZ		8379869263225	X0019VXNDD	DORRISO RGB Tappetino per Mouse Gaming 900 x 400 x 3 mm XXL Grande Mouse Pad 12 LED Effetti Luce Superficie Liscio Computer PC e Laptop Tappetini per Mouse Leone	1	752.9994	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	23.3		1.63	23.3	1.63	7	PERCENTAGE_OF_COST				X0019VXNDD		0	INV-IT-1180102815-2022-51
IMXSW	DE	BLQ1	3601981	Overstock	2022/06/20	AA0154770139	AMZN_DE_STD	Gau-Bickelheim	3660565371	5295481097552	5516923735556	LIQN5030025622532	spe00baFGbH	147	gl_pc			14700948	948 Workspace & gadgets accessories	B08NPB19GZ		8379869263225	X0019VXNDD	DORRISO RGB Tappetino per Mouse Gaming 900 x 400 x 3 mm XXL Grande Mouse Pad 12 LED Effetti Luce Superficie Liscio Computer PC e Laptop Tappetini per Mouse Leone	1	752.9994	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	23.3		1.63	23.3	1.63	7	PERCENTAGE_OF_COST				X0019VXNDD		0	INV-IT-1180102815-2022-51
IMXSW	DE	BLQ1	3601981	Overstock	2022/06/20	H1020430196970001044	HERMES_DIREKT	Gau-Bickelheim	3660562091	5295419564552	5513342723556	LIQN205086175532	spe0071daH0	147	gl_pc			14700948	948 Workspace & gadgets accessories	B08Q773QGK		8379869286576	X001ABM397	DORRISO RGB Tappetino per Mouse Gaming XXL 900 x 400 mm XL 800 x 300mm Grande Mouse Pad 13 LED Effetti Luce Superficie Liscio Antiscivolo Computer PC e Laptop Tappetino per Mouse Mappa del Mondo	1	799.9993	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	28.66		2.01	28.66	2.01	7	PERCENTAGE_OF_COST				X001ABM397		0	INV-IT-1180102815-2022-52
IMXSW	DE	SZZ1	2924486	Overstock	2022/06/20	H1020111157183801044	HERMES_DOM	Gau-Bickelheim	3660601751	5295464982552	5513369871556	LIQN5030051980532	spL1j341J0m	147	gl_pc	10701400	1400 Wearables	10701410	1410 Smartwatches	B08S3331CW		4894240142462	X001B30JC7	ESR Magnetische Hülle kompatibel mit iPad Pro 12.9 5G 2021, Auto Schlafen/Wachen, Smart Case mit Pencil 2 Unterstützung und Trifold Ständer,Roségold	4	480.9996	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	24.16		1.69	96.64	6.76	7	PERCENTAGE_OF_COST				X001B30JC7		0	INV-PL-1188487165-2022-883
IMXSW	DE	PRG2	1348836	Defective	2022/06/20	JJD000390006421654285	DP_HAZMAT_DOM	Gau-Bickelheim	3646571181	5291725712552	5506645341556	LIQN5029396513532	spL00k7OkKN	23	gl_electronics	2300700	0700 Audio	10700810	0810 Headsets	B07WHCB57L	715802371066	0715802371066	X0012CAAD5	Srhythm NC35 Active Noise Cancelling Kopfhörer,Faltbar,Kabellos,Bluetooth 5.0,Over-Ear mit USB-C Schnellladung,Mikrofon,Sprachanruf,50+ Std. kompatibel für iOS Android TV PC (Gun Schwarz)	1	579.9995	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	57.37		7.46	57.37	7.46	13	PERCENTAGE_OF_COST				X0012CAAD5		0	INV-CZ-501204005-2022-54
IMXSW	DE	PRG2	473100	Defective	2022/06/20	JJD000390006995966312	DP_PAKET	Gau-Bickelheim	3646988631	5291877539552	5516951591556	LIQN5029408589532	spL00k7OkKo	201	gl_home	7908600	8600 All Other	7908699	8699 All Other	B08MLJ72XK		5060630693534	B08MLJ72XK	MATANA - 100 Runde Aluschalen für Backofen & Grill - Perfekt zum Backen von Kleinen Kuchen & Torten - 320ml / 13x13cm - Stabil & Praktisch	1	509.9996	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	14.2		0.71	14.2	0.71	5	PERCENTAGE_OF_COST				B08MLJ72XK		0	INV-CZ-150723241-2022-553
IMXSW	DE	PRG2	473100	Customer Damage	2022/06/20	JJD000390006995966312	DP_PAKET	Gau-Bickelheim	3646988631	5291877539552	5516951592556	LIQN5029408589532	spL00k7OkKo	201	gl_home					B076TFJ1N6	713153939478	0713153939478	B076TFJ1N6	MATANA - 150 Mehrweg Neon Party Schnapsgläser aus Plastik (30 ml)	1	409.9997	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	15.49		0.77	15.49	0.77	5	PERCENTAGE_OF_COST				B076TFJ1N6		0	INV-CZ-150723241-2022-553
