ReturnId	ShipmentItemId	PkgID	Asin	FCSku	FNSku	LPN	BOL
5298051871552	551389830983	spe0147DGbc	B01LWV11IO	ZZWNEYJK1Q	B01LWV11IO	LPNHE579910596	H1020780286051401044
5296900474552	637373052174	spL1jlPIj0I	B09CYX24GQ	ZZWGW465ZY	X001FL6WTJ	LPNHE645100803	AA0156171707
5296900474552	637373053174	spL1jlPIj0I	B09CZ42SKH	ZZWGWRLBFK	X001FA37LV	LPNHE644226658	AA0156171707
5296616521552	637374215174	spL1IO100lL	B09MPT6XF8	ZZWH65EDJI	X001H71DGN	LPNHE641528527	AA0156188434
5293434724552	637374075174	spL1IN143ln	B09PDGWC2X	ZZWH6FJREE	X001HTG3NT	LPNHE645939009	AA0156116738
5292983281552	228167754175	spL1jk9m6in	B095KL96QC	ZZWHHR2LBM	X001DQAQC5	LPNIC051761188	H1023050001382401044
5292983281552	228167755175	spL1jk9m6in	B095KJRM9D	ZZWHJA2YX2	B095KJRM9D	LPNHE641303248	H1023050001382401044
5292983281552	228167756175	spL1jk9m6in	B095KJRM9D	ZZWHD4157U	B095KJRM9D	LPNHE650208216	H1023050001382401044
5292980021552	228168295175	spL1jk9m6j0	B083BNXX9S	ZZWH7RNQ20	X0014NX633	LPNA014839438	H1023050001352901044
5292980021552	228168296175	spL1jk9m6j0	B083BNXX9S	ZZWHC9KVA8	X0014NX633	LPNIC062436554	H1023050001352901044
5292985233552	228168621175	spL1jk9m6Im	B08H54R11Y	ZZWHJXAQ5C	X001A1M8QF	LPNHE655415151	H1023050001388801044
5292985233552	228168942175	spL1jk9m6Im	B082NNZRSK	ZZWHKX25AK	X001HKTRC7	LPNHE641488272	H1023050001388801044
5292985233552	228168943175	spL1jk9m6Im	B09223XP9D	ZZWHIFKUS4	X001CTC9ZP	LPNHE641027045	H1023050001388801044
5299065684552	918725968143	spL197Lm1k2	B09MKGX837	ZZWJ8L2ZOI	X001HA5WV7	LPNHE637021957	H1020200500303401044
5299065684552	918725969143	spL197Lm1k2	B09MKJKPF9	ZZWJCEYIEQ	X001HA5WQ7	LPNHE636992008	H1020200500303401044
5292903988552	228174623175	spL1Imj73oP	B08NVPSH2H	ZZWHILL9Y2	X0019W7BMV	LPNIC062525325	JJD000390000541121957
5292903988552	228174624175	spL1Imj73oP	B0094RUPM8	ZZWHDEGEFS	X000JKVVQL	LPNHE637955532	JJD000390000541121957
5292903988552	228174625175	spL1Imj73oP	B00AZV6OO0	ZZWHACPVGG	X000K34KH9	LPNHE649980421	JJD000390000541121957
5292903988552	228174626175	spL1Imj73oP	B076D894P5	ZZWHJUYDM2	X000REJ9R7	LPNHE640687377	JJD000390000541121957
5292903988552	228174627175	spL1Imj73oP	B082V2BPB7	ZZWHI80A1S	X0014GMODX	LPNIC062531130	JJD000390000541121957
5292903988552	228174628175	spL1Imj73oP	B08NT9C4M8	ZZWHHZ4ILA	X0019VYSZ5	LPNA017081876	JJD000390000541121957
5292903988552	228174629175	spL1Imj73oP	B00OGA90EM	ZZWHK6SFCE	X000KEU3CT	LPNHE651482242	JJD000390000541121957
5292903988552	228174630175	spL1Imj73oP	B08QJPLWM5	ZZWHHZPH10	X001AREYK7	LPNHE641248008	JJD000390000541121957
5292903988552	228174631175	spL1Imj73oP	B08NTB8RFB	ZZWHADUCD2	X0019VYUYT	LPNHE649436164	JJD000390000541121957
5292903988552	228174632175	spL1Imj73oP	B00FFZUJXI	ZZWH8KUQV0	X000K0TJT1	LPNA016607896	JJD000390000541121957
5292903988552	228174633175	spL1Imj73oP	B0094RUJ1K	ZZWH9VRQ3O	X000K24UQ1	LPNHE643305402	JJD000390000541121957
5292903988552	228174634175	spL1Imj73oP	B0094RVG76	ZZWH9MEP8C	X000K2FK1Z	LPNA014568274	JJD000390000541121957
5292903988552	228174635175	spL1Imj73oP	B0094RVBLW	ZZWHKUL4FK	X000JZSD4T	LPNHE640278449	JJD000390000541121957
5292903988552	228174636175	spL1Imj73oP	B0843S9NP7	ZZWHILHESC	X0014ZFVEN	LPNHE641072120	JJD000390000541121957
5292903988552	228174637175	spL1Imj73oP	B00G589T0I	ZZWHII4BZO	X000KCLC85	LPNHE639879446	JJD000390000541121957
5292903988552	228174638175	spL1Imj73oP	B00MEEA1YK	ZZWHD724SG	X0016FS6LB	LPNHE651191347	JJD000390000541121957
5292903988552	228174639175	spL1Imj73oP	B08H8QQKLX	ZZWHH23G6Q	X0018C3ZYP	LPNHE650122027	JJD000390000541121957
5292903988552	228174640175	spL1Imj73oP	B08SBYV5G2	ZZWHIDVLGG	X001AVC3R9	LPNA014259851	JJD000390000541121957
5292903988552	228174641175	spL1Imj73oP	B07X91P741	ZZWHHJZEO6	X0012RQGIN	LPNA014269080	JJD000390000541121957
5292903988552	228174642175	spL1Imj73oP	B087X9V17J	ZZWHHI8M3M	X0016D7AN3	LPNHE655205935	JJD000390000541121957
5293034088552	228174567175	spL1jk9m6il	B094QRCK6P	ZZWHCTHM96	X001HZEUER	LPNHE653999906	JJD000390000541121971
5293034088552	228174568175	spL1jk9m6il	B094QRCK6P	ZZWHDUI3NS	X001HZEUER	LPNHE649859977	JJD000390000541121971
5293034088552	228174569175	spL1jk9m6il	B094QRCK6P	ZZWHI5O4GI	X001HZEUER	LPNHE655765274	JJD000390000541121971
5293034088552	228174570175	spL1jk9m6il	B094QRCK6P	ZZWHIOR1GY	X001HZEUER	LPNHE641224754	JJD000390000541121971
